"filename", "language", "GLSL", "C++", "XML", "CMake", "comment", "blank", "total"
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x2.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x2_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x3.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x3_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x4.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double3x4_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x2.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x2_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x3.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x3_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x4.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double4x4_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x2.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x2_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x3.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x3_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x4.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float2x4_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
